_id,DATE,INSTITUTION,FULL_FARE,STUDENT,TEACHER,SIXTY_YEARS_OLD,TICKET,CHILD,PERSONNEL,FREE
1,2021-01-01T00:00:00,Izdeniz,46,7,0,0,3,0,14,5
2,2021-01-01T00:00:00,Tramvay Konak,701,132,0,12,2,0,195,71
3,2021-01-01T00:00:00,Metro Maskematik,38,1,0,3,0,0,0,0
4,2021-01-01T00:00:00,Seferihisar Mot. Taş. Kooperat,221,24,0,5,0,0,43,30
5,2021-01-01T00:00:00,İzban,7297,1206,5,110,105,0,747,857
6,2021-01-01T00:00:00,İzdeniz Maskematik,1,0,4,0,0,0,0,0
7,2021-01-01T00:00:00,Izulas,6,0,0,1,0,0,0,0
8,2021-01-01T00:00:00,Metro,4992,1014,0,112,50,0,598,568
9,2021-01-01T00:00:00,Tramvay Karşıyaka,146,28,0,4,0,0,25,9
10,2021-01-01T00:00:00,Eshot,20972,3159,6,466,65,0,3962,2319
11,2021-01-02T00:00:00,Tramvay Karşıyaka,189,37,0,2,0,0,25,9
12,2021-01-02T00:00:00,Tramvay Konak,1019,165,2,17,5,0,236,62
13,2021-01-02T00:00:00,Eshot,30506,4524,15,583,46,0,4607,2984
14,2021-01-02T00:00:00,Metro,7346,1389,6,180,56,0,628,704
15,2021-01-02T00:00:00,İzdeniz Maskematik,1,0,0,0,0,0,0,0
16,2021-01-02T00:00:00,Metro Maskematik,88,6,0,1,0,0,0,0
17,2021-01-02T00:00:00,Izdeniz,80,12,0,0,3,0,9,4
18,2021-01-02T00:00:00,İzban,10924,1893,12,153,96,0,805,1026
19,2021-01-02T00:00:00,Seferihisar Mot. Taş. Kooperat,313,42,0,5,1,0,42,34
20,2021-01-03T00:00:00,Metro Maskematik,69,9,2,0,0,0,0,0
21,2021-01-03T00:00:00,Izdeniz,54,10,0,0,5,0,3,12
22,2021-01-03T00:00:00,Tramvay Karşıyaka,156,33,0,2,0,0,21,9
23,2021-01-03T00:00:00,Tramvay Konak,878,138,0,14,3,0,214,78
24,2021-01-03T00:00:00,Metro,5962,1126,6,131,55,0,535,577
25,2021-01-03T00:00:00,İzdeniz Maskematik,3,0,0,0,0,0,0,0
26,2021-01-03T00:00:00,İzban,9175,1531,10,118,152,0,713,912
27,2021-01-03T00:00:00,Eshot,24584,3683,20,464,99,0,3969,2531
28,2021-01-03T00:00:00,Seferihisar Mot. Taş. Kooperat,238,33,0,4,0,0,35,27
29,2021-01-04T00:00:00,Izdeniz,14556,2998,134,437,334,0,535,821
30,2021-01-04T00:00:00,Izulas,56379,12473,331,2325,32,0,3466,7698
31,2021-01-04T00:00:00,Metro,87419,20558,597,3265,441,0,4264,6776
32,2021-01-04T00:00:00,Seferihisar Mot. Taş. Kooperat,2771,423,18,95,4,0,169,389
33,2021-01-04T00:00:00,Metro Maskematik,955,54,0,14,0,0,0,0
34,2021-01-04T00:00:00,Tramvay Karşıyaka,5777,1426,83,252,29,0,167,355
35,2021-01-04T00:00:00,İzdeniz Maskematik,140,14,3,6,0,0,0,0
